month,avg_sentiment,sentiment_std,sentiment_count,total_complaints,confidence_interval
2015-03,0.0296,0.114,93,93,0.0232
2015-04,0.0164,0.1236,218,218,0.0164
2015-05,0.0077,0.1292,250,250,0.016
2015-06,0.0023,0.1296,275,275,0.0153
2015-07,0.0109,0.1374,273,273,0.0163
2015-08,0.0256,0.1232,298,298,0.014
2015-09,0.0112,0.1252,268,268,0.015
2015-10,0.023,0.1289,275,275,0.0152
2015-11,0.0276,0.1407,232,232,0.0181
2015-12,0.0153,0.1158,227,227,0.0151
2016-01,0.0081,0.1445,268,268,0.0173
2016-02,0.0038,0.1498,240,240,0.019
2016-03,-0.0024,0.1303,242,242,0.0164
2016-04,0.0117,0.1194,235,235,0.0153
2016-05,-0.0002,0.1339,270,270,0.016
2016-06,0.0211,0.1328,257,257,0.0162
2016-07,0.019,0.1199,268,268,0.0144
2016-08,0.0224,0.1329,262,262,0.0161
2016-09,0.0084,0.1325,664,664,0.0101
2016-10,0.0099,0.1279,555,555,0.0106
2016-11,0.0073,0.1349,327,327,0.0146
2016-12,0.0133,0.1368,334,334,0.0147
2017-01,0.0139,0.137,348,348,0.0144
2017-02,0.0067,0.1267,295,295,0.0145
2017-03,0.0004,0.1523,316,316,0.0168
2017-04,-0.0,0.1415,308,308,0.0158
2017-05,0.0075,0.1283,301,301,0.0145
2017-06,0.0154,0.1366,335,335,0.0146
2017-07,0.011,0.1275,279,279,0.015
2017-08,0.0249,0.1292,331,331,0.0139
2017-09,0.006,0.1241,286,286,0.0144
2017-10,0.001,0.1291,284,284,0.015
2017-11,0.0151,0.1267,272,272,0.0151
2017-12,-0.0039,0.1277,234,234,0.0164
2018-01,0.0041,0.1405,324,324,0.0153
2018-02,0.0077,0.1334,295,295,0.0152
2018-03,0.0112,0.1235,355,355,0.0128
2018-04,0.0102,0.131,362,362,0.0135
2018-05,0.0222,0.1396,320,320,0.0153
2018-06,-0.0006,0.1384,284,284,0.0161
2018-07,0.0051,0.12,269,269,0.0143
2018-08,0.0201,0.144,290,290,0.0166
2018-09,-0.0064,0.1202,239,239,0.0152
2018-10,0.0016,0.1358,255,255,0.0167
2018-11,0.0334,0.168,221,221,0.0221
2018-12,0.0107,0.1359,251,251,0.0168
2019-01,0.0158,0.1278,253,253,0.0157
2019-02,0.0176,0.151,266,266,0.0181
2019-03,-0.0058,0.1292,287,287,0.0149
2019-04,0.0122,0.1271,268,268,0.0152
2019-05,-0.0019,0.1382,252,252,0.0171
2019-06,0.002,0.13,233,233,0.0167
2019-07,0.0103,0.1132,255,255,0.0139
2019-08,0.0112,0.1213,246,246,0.0152
2019-09,0.0055,0.1295,203,203,0.0178
2019-10,0.0212,0.125,207,207,0.017
2019-11,0.022,0.1246,178,178,0.0183
2019-12,0.0287,0.1444,211,211,0.0195
2020-01,0.0185,0.1318,212,212,0.0177
2020-02,0.0129,0.1431,208,208,0.0194
2020-03,0.0104,0.1199,245,245,0.015
2020-04,0.0105,0.1318,284,284,0.0153
2020-05,0.0079,0.1375,299,299,0.0156
2020-06,0.0143,0.1432,254,254,0.0176
2020-07,0.0218,0.1336,305,305,0.015
2020-08,0.0418,0.1487,293,293,0.017
2020-09,0.0127,0.1278,266,266,0.0154
2020-10,-0.0025,0.1288,297,297,0.0146
2020-11,-0.0019,0.1451,250,250,0.018
2020-12,0.0139,0.1482,275,275,0.0175
2021-01,0.0127,0.1217,274,274,0.0144
2021-02,0.0205,0.1471,307,307,0.0165
2021-03,0.01,0.154,329,329,0.0166
2021-04,0.0018,0.1383,322,322,0.0151
2021-05,0.0194,0.1328,292,292,0.0152
2021-06,0.0103,0.1534,363,363,0.0158
2021-07,0.015,0.1515,353,353,0.0158
2021-08,0.0009,0.1503,352,352,0.0157
2021-09,0.0009,0.1235,365,365,0.0127
2021-10,0.0139,0.1319,362,362,0.0136
2021-11,0.0223,0.1455,364,364,0.0149
2021-12,-0.0025,0.1289,366,366,0.0132
2022-01,-0.001,0.1207,423,423,0.0115
2022-02,0.0068,0.1325,436,436,0.0124
2022-03,0.0177,0.122,462,462,0.0111
2022-04,0.0192,0.126,417,417,0.0121
2022-05,0.0197,0.1281,304,304,0.0144
2022-06,0.0159,0.1301,347,347,0.0137
2022-07,0.0187,0.1303,386,386,0.013
2022-08,0.0017,0.1422,452,452,0.0131
2022-09,0.0102,0.1481,406,406,0.0144
2022-10,0.0024,0.1352,385,385,0.0135
2022-11,0.018,0.1387,379,379,0.014
2022-12,-0.0016,0.1556,768,768,0.011
2023-01,-0.0086,0.1694,3212,3212,0.0059
2023-02,0.0066,0.1426,1232,1232,0.008
2023-03,0.0056,0.1571,951,951,0.01
2023-04,0.01,0.1414,630,630,0.011
2023-05,-0.0013,0.1645,880,880,0.0109
2023-06,0.0067,0.1448,689,689,0.0108
2023-07,0.0117,0.1272,622,622,0.01
2023-08,0.0141,0.1314,710,710,0.0097
2023-09,0.0117,0.1259,605,605,0.01
2023-10,0.0104,0.135,594,594,0.0109
2023-11,0.0148,0.139,607,607,0.0111
2023-12,0.013,0.1416,590,590,0.0114
2024-01,0.0173,0.1419,609,609,0.0113
2024-02,0.0169,0.1345,628,628,0.0105
2024-03,0.0213,0.1332,595,595,0.0107
2024-04,0.007,0.1347,580,580,0.011
2024-05,0.0158,0.1451,624,624,0.0114
2024-06,0.0171,0.1245,628,628,0.0097
2024-07,0.021,0.1342,643,643,0.0104
2024-08,0.016,0.1474,700,700,0.0109
2024-09,0.0165,0.1633,512,512,0.0141
2024-10,0.0029,0.1328,236,236,0.0169
