,textblob_polarity,textblob_polarity,textblob_subjectivity,textblob_subjectivity,nltk_si_compound,nltk_si_compound,nltk_si_pos,nltk_si_neg,nltk_si_neu,Complaint
,mean,std,mean,std,mean,std,mean,mean,mean,count
2015-03-19,0.0328,,0.3956,,0.3202,,0.041,0.047,0.912,1
2015-03-20,0.0662,0.059,0.4255,0.119,-0.9082,0.0077,0.0395,0.088,0.873,2
2015-03-21,0.0341,,0.1991,,-0.2158,,0.026,0.033,0.94,1
2015-03-22,-0.2,,0.4,,-0.7992,,0.089,0.327,0.584,1
2015-03-24,0.0079,0.0479,0.3836,0.0882,-0.3519,1.0248,0.058,0.0853,0.8567,3
2015-03-25,-0.2319,,0.5847,,-0.5704,,0.103,0.135,0.762,1
2015-03-27,-0.0833,,0.0333,,-0.875,,0.0,0.13,0.87,1
2015-03-29,-0.0909,,0.575,,0.6124,,0.061,0.0,0.939,1
2015-03-30,0.0424,0.19,0.4274,0.3101,-0.4539,0.6047,0.0157,0.1143,0.87,3
2015-03-31,0.2493,0.0579,0.4917,0.0589,-0.005,1.3269,0.11,0.114,0.776,2
2015-04-01,0.087,0.0074,0.5066,0.0351,-0.7568,0.0667,0.045,0.0735,0.8815,2
2015-04-02,0.0062,0.1044,0.3584,0.1828,-0.0928,0.7937,0.0685,0.081,0.8503,6
2015-04-03,0.1,,0.35,,-0.2732,,0.036,0.073,0.891,1
2015-04-04,-0.0446,,0.4175,,-0.7128,,0.041,0.067,0.891,1
2015-04-06,-0.0587,,0.3464,,0.8789,,0.09,0.034,0.875,1
2015-04-07,-0.0582,0.0853,0.282,0.0112,-0.9308,0.0896,0.035,0.105,0.8595,2
2015-04-09,-0.0143,0.0203,0.6567,0.4854,-0.4338,0.4815,0.0575,0.0765,0.866,2
2015-04-10,0.111,,0.3819,,0.9915,,0.084,0.022,0.894,1
2015-04-12,0.1583,,0.2514,,-0.34,,0.058,0.083,0.859,1
2015-04-13,0.0164,,0.4399,,-0.9619,,0.101,0.168,0.73,1
2015-04-14,0.0682,,0.5273,,0.0258,,0.049,0.0,0.951,1
2015-04-15,-0.0356,0.1008,0.5435,0.2095,-0.043,0.7642,0.0867,0.0843,0.8293,3
2015-04-16,0.0,,0.0,,-0.4215,,0.0,0.028,0.972,1
2015-04-17,0.2058,0.1333,0.6946,0.149,0.7963,0.2785,0.1205,0.0455,0.834,2
2015-04-18,0.02,,0.28,,-0.9402,,0.034,0.137,0.829,1
2015-04-19,0.0129,0.0182,0.381,0.0084,-0.9326,0.045,0.0495,0.1345,0.816,2
2015-04-20,-0.0199,0.0807,0.5592,0.1285,-0.0065,0.8051,0.066,0.0653,0.868,3
2015-04-22,0.0624,0.0192,0.2204,0.0716,0.5331,0.6942,0.0693,0.043,0.888,3
2015-04-23,0.1598,,0.5078,,0.9583,,0.121,0.063,0.816,1
2015-04-24,0.0051,0.0353,0.3269,0.0283,0.1251,0.7161,0.077,0.0628,0.8605,4
2015-04-26,-0.1925,,0.4212,,-0.9368,,0.106,0.13,0.765,1
2015-04-28,-0.0015,0.025,0.297,0.0984,0.0852,0.6887,0.042,0.056,0.902,3
2015-04-29,0.0737,0.0857,0.4819,0.0041,0.3498,0.033,0.0695,0.0525,0.8785,2
2015-04-30,0.1857,0.1212,0.6826,0.4489,-0.4918,0.4558,0.0,0.084,0.916,2
2015-05-02,-0.5,,0.5,,0.8129,,0.331,0.0,0.669,1
2015-05-04,0.0352,0.0319,0.2588,0.1545,-0.1887,0.7476,0.0696,0.102,0.8284,5
2015-05-05,0.0137,0.1165,0.3986,0.1123,-0.3913,0.7213,0.074,0.1008,0.8254,5
2015-05-06,0.0007,0.0536,0.4899,0.097,-0.3406,0.7691,0.0555,0.077,0.8672,4
2015-05-07,0.0902,,0.3894,,-0.9669,,0.084,0.119,0.797,1
2015-05-08,-0.05,,0.405,,-0.8074,,0.027,0.202,0.771,1
2015-05-09,-0.0714,,0.3726,,-0.4404,,0.008,0.02,0.972,1
2015-05-10,0.04,,0.4754,,0.9712,,0.209,0.0,0.791,1
2015-05-11,0.1086,0.068,0.3274,0.1259,-0.3492,0.7735,0.0597,0.0657,0.8747,3
2015-05-12,0.0606,0.0599,0.2544,0.0533,-0.7807,0.2379,0.075,0.1015,0.823,2
2015-05-13,0.0714,,0.6464,,0.9432,,0.172,0.024,0.803,1
2015-05-15,-0.045,0.0397,0.1433,0.2065,-0.1498,0.7129,0.0593,0.155,0.7857,3
2015-05-16,0.0,,0.0,,0.0,,0.0,0.0,1.0,1
2015-05-18,0.0697,0.0466,0.425,0.1079,0.5814,0.3285,0.082,0.0307,0.8873,6
2015-05-19,-0.0673,0.1994,0.4839,0.3046,-0.08,0.8831,0.0692,0.062,0.869,5
2015-05-20,0.008,0.088,0.3537,0.1729,0.0353,0.8267,0.0642,0.0422,0.8932,4
2015-05-22,-0.0262,,0.3364,,-0.9133,,0.01,0.084,0.906,1
2015-05-23,0.0054,0.2172,0.3999,0.0678,-0.0691,0.8988,0.058,0.0663,0.8753,3
2015-05-26,-0.0146,0.0206,0.1507,0.2131,-0.289,0.8895,0.0525,0.063,0.884,2
2015-05-27,0.0722,0.0552,0.3987,0.0994,-0.2383,0.6415,0.035,0.0687,0.8967,3
2015-05-28,-0.125,,0.375,,0.4404,,0.115,0.075,0.809,1
2015-05-29,0.0341,0.0482,0.4833,0.0085,-0.2922,0.0293,0.0175,0.0515,0.931,2
2015-05-31,0.0466,0.0031,0.3451,0.1405,0.2276,1.0814,0.097,0.0555,0.8475,2
2015-06-01,0.0095,0.0249,0.3113,0.1397,-0.6453,0.5589,0.023,0.0907,0.8863,3
2015-06-02,0.0305,0.1247,0.4647,0.1701,-0.2017,0.9991,0.0623,0.0723,0.8653,3
2015-06-03,-0.0218,0.2237,0.4156,0.0551,0.0385,0.3157,0.079,0.065,0.856,2
2015-06-04,0.1667,,0.2083,,-0.5801,,0.0,0.085,0.915,1
