,textblob_polarity,textblob_polarity,textblob_subjectivity,textblob_subjectivity,nltk_si_compound,nltk_si_compound,nltk_si_pos,nltk_si_neg,nltk_si_neu,Complaint
,mean,std,mean,std,mean,std,mean,mean,mean,count
Date,,,,,,,,,,
2015-03,0.0152,0.1483,0.4034,0.18,-0.3607,0.7025,0.0525,0.1047,0.8428,16
2015-04,0.0297,0.0961,0.4173,0.1993,-0.1039,0.7119,0.0635,0.073,0.8634,47
2015-05,0.008,0.1181,0.3691,0.1713,-0.0979,0.7129,0.0709,0.071,0.858,58
2015-06,0.0029,0.1584,0.3688,0.1461,-0.3111,0.6986,0.0515,0.0935,0.8552,68
2015-07,-0.0004,0.105,0.3694,0.1311,-0.2856,0.6626,0.0558,0.078,0.8662,69
2015-08,0.0092,0.099,0.3622,0.1594,-0.2334,0.7075,0.0553,0.0782,0.8664,61
2015-09,-0.0024,0.1342,0.4013,0.1267,-0.2137,0.7115,0.056,0.0812,0.8628,54
2015-10,0.0198,0.1273,0.4079,0.1692,-0.2353,0.6758,0.0551,0.0815,0.8635,65
2015-11,0.0284,0.1018,0.3433,0.1804,-0.0771,0.6475,0.064,0.079,0.8571,49
2015-12,-0.0161,0.1536,0.3509,0.1599,-0.1668,0.7048,0.0661,0.0749,0.859,56
2016-01,-0.0002,0.1073,0.3853,0.1547,-0.3163,0.6654,0.0529,0.0876,0.8596,58
2016-02,-0.0058,0.1666,0.4054,0.1833,-0.2796,0.6544,0.0527,0.0923,0.855,44
2016-03,-0.0075,0.0996,0.3572,0.1405,-0.4255,0.5596,0.0565,0.0919,0.8516,55
2016-04,0.0045,0.1449,0.3682,0.1431,-0.3458,0.6744,0.0599,0.0826,0.8574,49
2016-05,0.0132,0.144,0.3907,0.1399,-0.1833,0.6584,0.0599,0.0737,0.8665,66
2016-06,0.0033,0.1146,0.3843,0.1184,-0.2302,0.7305,0.0498,0.0723,0.8778,50
2016-07,0.0491,0.1582,0.4412,0.1499,-0.0857,0.7548,0.0649,0.0622,0.8729,53
2016-08,0.0126,0.1304,0.3828,0.179,-0.2238,0.7143,0.0627,0.0782,0.859,47
2016-09,0.0113,0.132,0.3793,0.1648,-0.1595,0.6754,0.0633,0.0791,0.8576,261
2016-10,0.012,0.107,0.3696,0.1566,-0.1907,0.6825,0.0582,0.0805,0.8612,190
2016-11,0.0162,0.1398,0.3543,0.1633,-0.1675,0.6549,0.0601,0.0675,0.8724,97
2016-12,0.0075,0.1454,0.4055,0.1477,-0.2207,0.6553,0.0617,0.0823,0.856,124
2017-01,-0.0073,0.1383,0.3748,0.1607,-0.2152,0.6683,0.0583,0.0775,0.8643,91
2017-02,0.0074,0.1184,0.375,0.1663,-0.2329,0.6691,0.0602,0.0822,0.8576,101
2017-03,0.0111,0.1487,0.4101,0.1619,-0.1019,0.716,0.0602,0.0713,0.8685,104
2017-04,-0.0106,0.1157,0.3682,0.1563,-0.2956,0.6627,0.062,0.0884,0.8496,84
2017-05,0.0071,0.1484,0.3479,0.1741,-0.2371,0.6697,0.0546,0.0802,0.8652,86
2017-06,0.0333,0.1201,0.3607,0.1785,0.0218,0.6887,0.0619,0.0551,0.883,127
2017-07,0.0195,0.1426,0.3977,0.1609,-0.1267,0.7346,0.0667,0.0699,0.8634,90
2017-08,0.0172,0.1226,0.3902,0.1776,-0.3815,0.6377,0.0587,0.0921,0.8492,93
2017-09,0.0039,0.1096,0.3827,0.1573,-0.2027,0.6862,0.0551,0.0744,0.8704,67
2017-10,0.0192,0.1119,0.4087,0.1316,-0.1867,0.7017,0.0626,0.0759,0.8615,64
2017-11,0.0105,0.0987,0.4051,0.1754,-0.4796,0.58,0.0505,0.0873,0.8622,79
2017-12,0.0056,0.0963,0.386,0.1383,-0.2777,0.677,0.0612,0.0752,0.8635,58
2018-01,0.0151,0.1024,0.3558,0.1536,-0.2819,0.6381,0.0534,0.0793,0.8674,93
2018-02,0.0131,0.0898,0.3694,0.1623,-0.2156,0.7088,0.0594,0.0741,0.8664,78
2018-03,-0.0005,0.0898,0.3444,0.1571,-0.3066,0.6969,0.0588,0.0786,0.8627,93
2018-04,0.0087,0.1379,0.3769,0.1657,-0.3499,0.5848,0.0559,0.089,0.8552,91
2018-05,0.0314,0.1204,0.4044,0.1551,-0.2328,0.7295,0.0628,0.0809,0.8563,100
2018-06,0.0004,0.1418,0.3845,0.1739,-0.2851,0.6956,0.0519,0.0945,0.8538,77
2018-07,0.0311,0.1174,0.3572,0.1397,-0.1052,0.7252,0.0615,0.0706,0.868,91
2018-08,0.017,0.0965,0.366,0.1479,-0.3475,0.6779,0.053,0.0923,0.8547,93
2018-09,-0.0143,0.1114,0.3793,0.167,-0.3692,0.6384,0.0517,0.08,0.8683,71
2018-10,0.0191,0.1137,0.3929,0.1723,-0.2597,0.638,0.0577,0.074,0.8683,81
2018-11,0.0087,0.1517,0.3571,0.1799,-0.1186,0.7048,0.0649,0.0774,0.8579,66
2018-12,0.0396,0.1319,0.4012,0.1591,-0.0879,0.6718,0.0679,0.0704,0.8618,79
2019-01,0.0224,0.1017,0.3736,0.1346,-0.1576,0.7407,0.066,0.0718,0.8622,81
2019-02,0.0046,0.1333,0.3591,0.1681,-0.1387,0.6543,0.0595,0.0777,0.8628,94
2019-03,-0.0031,0.0994,0.3354,0.1581,-0.2714,0.663,0.0554,0.0789,0.8657,81
2019-04,0.0001,0.1383,0.3615,0.1858,-0.3322,0.6608,0.0479,0.0825,0.8696,73
2019-05,0.0055,0.1246,0.3776,0.1651,-0.2651,0.7008,0.0588,0.0808,0.8604,83
2019-06,-0.0021,0.1244,0.379,0.1476,-0.2657,0.6731,0.0569,0.0828,0.8603,88
2019-07,-0.0049,0.0856,0.3491,0.1545,-0.3112,0.6325,0.0528,0.0747,0.8724,90
2019-08,0.0056,0.1044,0.3461,0.1401,-0.3205,0.6778,0.0612,0.0846,0.8542,84
2019-09,0.054,0.1504,0.3877,0.1497,-0.3195,0.6748,0.049,0.0815,0.8695,75
2019-10,0.0152,0.1267,0.3738,0.1655,-0.2789,0.6611,0.0622,0.0901,0.8477,66
2019-11,0.0235,0.1021,0.3502,0.1545,-0.1734,0.7215,0.0582,0.0802,0.8617,61
2019-12,0.0133,0.1221,0.3509,0.1516,-0.1692,0.6995,0.0599,0.0756,0.8645,82
2020-01,0.0155,0.1149,0.3479,0.1334,-0.2767,0.7204,0.0603,0.0837,0.8561,78
2020-02,-0.0178,0.0972,0.3801,0.1528,-0.4904,0.6084,0.0511,0.0956,0.8532,70
2020-03,-0.0151,0.1413,0.3659,0.1512,-0.4174,0.6315,0.0512,0.0868,0.862,89
2020-04,0.0203,0.1097,0.3621,0.1425,-0.2398,0.7393,0.0664,0.0884,0.8452,107
2020-05,0.0295,0.1052,0.3676,0.1281,-0.1708,0.7094,0.0597,0.0756,0.8648,93
2020-06,0.0125,0.1365,0.3583,0.166,-0.1369,0.7326,0.0667,0.0835,0.8498,91
2020-07,0.0377,0.1134,0.3649,0.1435,-0.1688,0.7248,0.0672,0.0804,0.8525,85
2020-08,0.0159,0.0998,0.3588,0.1644,-0.3116,0.6761,0.0539,0.0818,0.8643,64
2020-09,0.0324,0.0913,0.3617,0.1673,-0.2421,0.6872,0.0533,0.0761,0.8706,83
2020-10,0.0025,0.1143,0.3556,0.1629,-0.2685,0.6368,0.0563,0.0832,0.8606,97
2020-11,0.0232,0.1257,0.3562,0.158,-0.2385,0.6437,0.0601,0.077,0.8628,75
2020-12,0.0015,0.1019,0.3928,0.1612,-0.3937,0.6333,0.052,0.0916,0.8564,93
2021-01,0.0234,0.0975,0.3785,0.1461,-0.3337,0.6805,0.0542,0.0791,0.8667,101
2021-02,0.0097,0.1332,0.373,0.1626,-0.4211,0.5804,0.0583,0.0989,0.8428,100
2021-03,0.023,0.1245,0.3658,0.1573,-0.3943,0.6616,0.0621,0.1012,0.8367,126
